"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"true","false","[]","[]","[]","preload","0","92","0.0-0.0","","","","","","",""
"","","","","","instructions","1","20354","0.0-1.0","[{""page_index"":0,""viewing_time"":6363},{""page_index"":1,""viewing_time"":5916},{""page_index"":2,""viewing_time"":5333},{""page_index"":3,""viewing_time"":2651}]","20262","","","","",""
"","","","","","image-keyboard-response","2","20557","0.0-2.0-0.0","","null","img_mproj/french/2.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","3","20859","0.0-2.0-1.0","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","21061","0.0-2.0-2.0","","null","img_mproj/french/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","5","21345","0.0-2.0-3.0","","282","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","html-button-response","6","22905","0.0-2.0-4.0","","1559","<p>The two words were the same, with same orientation. The correct response was 'S'. Let us try another example. Click next to continue.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","7","23107","0.0-2.0-0.1","","null","img_mproj/tools/2.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","8","23408","0.0-2.0-1.1","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","9","23610","0.0-2.0-2.1","","null","img_mproj/Mtools/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","10","24229","0.0-2.0-3.1","","619","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","html-button-response","11","27053","0.0-2.0-4.1","","2823","<p>The two images were the same, but in different orientation. The correct response was 'S'. Let us try one last example. Click next to continue.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","12","27256","0.0-2.0-0.2","","null","img_mproj/jap/1.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","13","27558","0.0-2.0-1.2","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","27761","0.0-2.0-2.2","","null","img_mproj/jap/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","15","27854","0.0-2.0-3.2","","92","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNT"
"","","","","","html-button-response","16","30170","0.0-2.0-4.2","","2315","<p>The two words/images were different. The correct response was 'D'. Click next to begin the task.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","17","30372","0.0-3.0-0.0","","null","img_mproj/french/14.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","18","30673","0.0-3.0-1.0","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","19","30877","0.0-3.0-2.0","","null","img_mproj/french/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","20","31447","0.0-3.0-3.0","","570","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNF"
"","","","","","image-keyboard-response","21","31651","0.0-3.0-0.1","","null","img_mproj/Mtools/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","22","31952","0.0-3.0-1.1","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","23","32154","0.0-3.0-2.1","","null","img_mproj/Mtools/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","24","32878","0.0-3.0-3.1","","722","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","d","DMT"
"","","","","","image-keyboard-response","25","33084","0.0-3.0-0.2","","null","img_mproj/Mtools/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","26","33386","0.0-3.0-1.2","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","27","33588","0.0-3.0-2.2","","null","img_mproj/Mtools/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","28","34275","0.0-3.0-3.2","","686","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMT"
"","","","","","image-keyboard-response","29","34477","0.0-3.0-0.3","","null","img_mproj/tools/14.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","30","34779","0.0-3.0-1.3","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","31","34982","0.0-3.0-2.3","","null","img_mproj/Mtools/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","32","35557","0.0-3.0-3.3","","575","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","image-keyboard-response","33","35760","0.0-3.0-0.4","","null","img_mproj/Mfaces/9.jpg","null","actual_stimuli_presentation_1","",""
