"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"true","false","[]","[]","[]","preload","0","3420","0.0-0.0","","","","","","",""
"","","","","","instructions","1","134482","0.0-1.0","[{""page_index"":0,""viewing_time"":95398},{""page_index"":1,""viewing_time"":12750},{""page_index"":2,""viewing_time"":21013},{""page_index"":3,""viewing_time"":1897}]","131059","","","","",""
"","","","","","image-keyboard-response","2","134690","0.0-2.0-0.0","","null","img_mproj/french/2.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","3","135000","0.0-2.0-1.0","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","135202","0.0-2.0-2.0","","null","img_mproj/french/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","5","140103","0.0-2.0-3.0","","4901","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","html-button-response","6","144827","0.0-2.0-4.0","","4723","<p>The two words were the same, with same orientation. The correct response was 'S'. Let us try another example. Click next to continue.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","7","145037","0.0-2.0-0.1","","null","img_mproj/tools/2.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","8","145345","0.0-2.0-1.1","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","9","145553","0.0-2.0-2.1","","null","img_mproj/Mtools/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","10","150552","0.0-2.0-3.1","","4998","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","html-button-response","11","159034","0.0-2.0-4.1","","8482","<p>The two images were the same, but in different orientation. The correct response was 'S'. Let us try one last example. Click next to continue.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","12","159236","0.0-2.0-0.2","","null","img_mproj/jap/1.jpg","null","stimuli_presentation_1","",""
"","","","","","html-keyboard-response","13","159552","0.0-2.0-1.2","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","159762","0.0-2.0-2.2","","null","img_mproj/jap/2.jpg","null","stimuli_presentation_2","",""
"","","","","","html-keyboard-response","15","162856","0.0-2.0-3.2","","3092","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNT"
"","","","","","html-button-response","16","165998","0.0-2.0-4.2","","3142","<p>The two words/images were different. The correct response was 'D'. Click next to begin the task.</p>","0","After_trial_text","",""
"","","","","","image-keyboard-response","17","166215","0.0-3.0-0.0","","null","img_mproj/Mfaces/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","18","166525","0.0-3.0-1.0","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","19","166734","0.0-3.0-2.0","","null","img_mproj/Mfaces/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","20","168826","0.0-3.0-3.0","","2092","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","21","169036","0.0-3.0-0.1","","null","img_mproj/Mfaces/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","22","169347","0.0-3.0-1.1","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","23","169551","0.0-3.0-2.1","","null","img_mproj/Mfaces/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","24","171718","0.0-3.0-3.1","","2167","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","25","171924","0.0-3.0-0.2","","null","img_mproj/false/5.jpg","null","actual_stimuli_presentation_1","",""
